['', '', '']
['Alfreds Futterkiste', 'Maria Anders', 'Germany']
['Centro comercial Moctezuma', 'Francisco Chang', 'Mexico']
['Ernst Handel', 'Roland Mendel', 'Austria']
['Island Trading', 'Helen Bennett', 'UK']
['Laughing Bacchus Winecellars', 'Yoshi Tannamuri', 'Canada']
['Magazzini Alimentari Riuniti', 'Giovanni Rovelli', 'Italy']
['<col>', 'Specifies column properties for each column within a <colgroup> element']
['<thead>', 'Groups the header content in a table']
['<tbody>', 'Groups the body content in a table']
['<tfoot>', 'Groups the footer content in a table']
